Sizes	Times
10	64052
10	58942
10	94863
10	90415
20	162363
20	188740
20	206221
20	176821
40	333977
40	319151
40	341893
40	324506
80	1012184
80	934891
80	954087
80	967150
100	1450985
100	1506012
100	1434939
100	1471694
200	5066522
200	6402808
200	9039736
200	9973300
400	41526142
400	38383875
400	37866750
400	24314248
800	74464217
800	72188020
800	72800779
800	72521521
1000	112869854
1000	115258621
1000	113622607
1000	109107647
2000	431096731
2000	438508191
2000	436515580
2000	429409993
4000	1717038670
4000	1674610116
4000	1668785055
4000	1666993874
8000	6909413037
8000	6800703808
8000	6877118692
8000	6731309603
10000	10675632330
10000	10886184750
10000	10703943202
10000	10856508477
20000	41898048644
20000	43280084079
20000	42916845053
20000	43029907919
40000	176152033288
40000	179225602711
40000	176521136408
40000	181015080768
80000	751784970586
80000	814807287226
80000	846266761271
80000	804874470346
100000	1424653153660
100000	1324523323338
100000	1296403906635
100000	1314461333740
