Sizes	Times
10	24296
10	23987
10	24579
10	22055
20	72904
20	71739
20	82498
20	74654
40	264718
40	253761
40	274845
40	333534
80	964832
80	895096
80	1068496
80	1177447
100	1565036
100	1505304
100	1534106
100	1597963
200	5745639
200	5705071
200	6693093
200	5734091
400	22467922
400	21076202
400	21865192
400	21455234
800	86425224
800	85545596
800	87070930
800	84621536
1000	130312373
1000	130926826
1000	133367566
1000	135190794
2000	532421893
2000	525151744
2000	565990570
2000	608556041
4000	2334602533
4000	1974028027
4000	1987218321
4000	2090901374
8000	8590783998
8000	8113491890
8000	8577491805
8000	8717074868
10000	13807421139
10000	16790875169
10000	16369191532
10000	12541617237
20000	52492285806
20000	52913726297
20000	50198618821
20000	52315013825
40000	209895123150
40000	200417994072
40000	212172475494
40000	220561719312
80000	803794008536
80000	831399601622
80000	830766198076
80000	827547855598
100000	1305092998945
100000	1303268378091
100000	1240294540287
100000	1306816536436
